keyword,title,contents,likes
Tiktok,搞钱女孩看过来❗️TikTok从入门到封神👍🏻,"▪️什么是TikTok？适合新手吗？
▪️中🇨🇳国人做TikTok有哪些优势？
▪️个人做TikTok，如何起号，直播，变现？
▪️企业如何利用TikTok拓展海外市场？
……
作为面向全球的的新媒体内容平台，近两年来，TikTok受到越来越多的人的关注。如果你曾在网络上刷到过【TikTok】与跨境电商，对他们充满好奇却又不知如何入场，那一定要来读一读这本《TikTok爆款攻略》❗️

·
📖《TikTok爆款攻略：跨境电商的流量玩法与赚钱逻辑》
作者：笛子
出版：民主与建设出版社｜时代华语
·

✔️本书作者笛子是一个资深的跨境人，有着丰富的电商经验，也是TikTok的第/一批践行者。她踩过坑，也赚过钱，总结成这本干货满满的书。

✔️笛子从账号定位、起号运营、内容提升、直播带货各个维度讲解，使我们既明白了TikTok的底层逻辑，又学习了前沿的跨境电商和TikTok的运营技巧，真的干货满满！！😍

·
✅什么是TikTok？
TikTok是字/节跳/动推出的dou音海外版。目前全球下载量超过35亿次，月活跃用户超过10亿次。

·
✅中🇨🇳国人做TikTok有哪些优势？
①内容潜力优势：网感好，短视频内容好
②产品力和供应链优势：品类多，质量好，成本低
③用工成本与时间优势：天然时差

·
✅TikTok五大核心力量
①产品力：做好选品
②内容力：夯实核心力量
③获流力：理解流量与""留量""
④运营力：加强流量的承接与成交
⑤品牌力：建立品牌资产与壁垒

·
✅TikTok起号阶段更新策略
①视频发布时间：早上10点和晚上10点
②频率：每天更新2条视频
③根据内容投入不同的资源

·
✅TikTok直播带货四大坑
①
❌选择英语专业的主播
⭕️英语流利➕销售思维兼备的主播
②
❌将直播当成演讲
⭕️提升直播信息密集度和爽点密度
③
❌用低价引流品
⭕️选择与利润品品类一致、价格差距不会太大的非同质产品
④
❌只学不练
⭕️边学习，边实践！

·
📚书中还为个体创业者如何在TikTok变现，以及企业如何利用TikTok拓展海外市场等方便，提供了切实可行的方法和思路❗️不管你是想个人尝试，还是想带领团队做大做强，都可以来读一读这本书！

#不懂就问有问必答
 #笔记灵感 #618小红书买买节 #tiktok",145
Tiktok,Tiktok视频剪辑🔥,"Tiktok视频剪辑
上一篇笔记有许多小伙伴点赞啊，那么今天这一期就教一教大家如何剪辑视频，可能会有的拖沓因为想为大家把原理和一些细节操作说的尽可能详细，让大家明白，可能有点长啊应该会分几篇笔记给大家介绍，如果大家喜欢的话请点个赞，你们的赞就是我更新下去的动力。
做Tiktok视频一共有两种形式
第一种是原创视频适合于老手或者动手能力极强具有丰富想象力的人，点子多的或者有团队的可以一起去试试。第二种就二次搬运二次剪辑。
如果你是刚做不久的新手啊，没有一个视频原创的能力，那我这边是强烈建议你去做二次剪搬运和剪辑，当然原创视频肯定是我们的最终目标。
为什么这么说呢？对于新手来说啊，前期呢主要还是要把tiktok这个整套流程先去跑通，而做二次剪辑呢可以让你更加容易上手还有一个好处就是你可以批量化去生产视频，目前的tiktok不像很多人想的那样我们直接去把别的平台视频复制粘贴到tiktok上面就好了，在前两年我们的确是这么做的，但是如今这种方法早就已经行不通了，那么二次剪辑就变的非常重要了。
查重机制
首先我们要知道为什么复制粘贴别人的视频没有流量？因为tiktok有一个查重机制，什么叫查重机制很好理解就是重复的视频不会有流量。tiktok平台对于我们发布的视频检测，它的原理呢主要有两个
1⃣️九宫格视频检测
第一个就是九宫格视频检测，平台算法啊会把我们的视频分割成九宫格的模式用来和视频储存参数库做对比检测
2⃣️抽帧检查
第二种就是视频的抽帧检查，就是平台会在我们的整段视频里面去抽一定帧数画面，在跟平台储存的视频数据库去做对比检测，可能有的抽象，可以理解为平台把我们的视频里面的各项参数到已有的参数库去做对比从而判断我们的视频是否与参数库中的视频相似。
那你视频相似度到一个值，它就会判你的视频是重复视频然后就不给推荐。
当然这些判别基本是都是系统算法在操作，它不可能是人工去直接判断，系统呢是比较死板的我们就要去摸清楚它的一个逻辑然后就可以做一些针对性的操作，从而达到去重的目的，也就是我们所说的二次剪辑。#TikTok
 #tiktok #跨境电商tiktok #视频剪辑 #短视频剪辑",75
Tiktok,Tiktok前期攻略指南❗❗❗,"想在Tiktok上成功赚💰前期准备一定要做好
👋 大家好，想要在TikTok上获得成功？那就需要做好前期的准备工作哦！建议一键三连哦~
📱 手机相关：
①T荐使用苹果手机，iPhone 7及以上、内存32G以上比较理想；
②安卓手机需要能够刷机，建议使用系统7.0及以上，内存4G+32G以上。
📲 账号注册：
①T荐使用谷歌Y箱、雅虎Y箱或企业Y箱等海外Y箱来注册账号；
②不T荐使用国内Y箱，可能会接不到验证码；
💡 注意事项：
①手机必须能刷机；
②新手建议用苹果机，因为相对稳定；
安卓机的话虽然CB低、群控方便，但用久了可能会变慢，而且品类太多，不太适合新手。工具下载也不太方便哦！
🌍 做好前期准备工作，才能够有效提升粉丝数量和引流效果哦！记得先打通C作流程，再精细化运营，才能达到目标哦！
#tiktok
 #跨境电商 #跨境电商tiktok #tiktok变现",48
Tiktok,团队散伙 一堆库存｜TikTok跨境卖家真实情况,"你们还好吗？团队还在吗？货还卖得掉吗？

自从转战到东南亚做TikTok后，我很少再写跨境的事，但是今天看到官宣，8月底官方将正式关闭半闭环

我应该是最早一批做TikTok跨境的卖家了，水晶的火爆，珠宝的转型我都赶上了末班车。但是英国，美国等该踩的坑，该赔的钱一分没少

最后的结局就是：跨境团队解散🙃合伙人退资🙃至今还有一批库存和工厂拉扯。shopify关了上个月还扣了几十美金？

当时我自己备受打击，把自己关起来天天哭无法入睡，缓了差不多一两个月。硬撑着断臂求生坚持转型做东南亚才能走到现在。

这些经历很宝贵，后来每次培训我都很自信地跟学员讲 “不要觉得你遇到的问题难解决，其实你们遇到的坑我都踩过，你们没遇到的奇葩事我也很不幸地全经历过，今天东南亚TikTok对我来说是easy模式啊！我们已经沉淀出一套非常成熟非常有效的操盘手法，只要你跟着做，绝对让你省钱。”

✨✨✨

今天我也总结一下当时跨境业务会失败的经验：

1. 入局太早，平台自己天天都在变政策，无论我们多擅长做号，直播都没用，卖家注定是炮灰

英国的履约问题到强制入仓再到全托管🥹 美国总拿做到怎么样给开半闭环画大饼，结果申请的时候条件一再变化🥹 等等等。很多跨境的政策不像东南亚本本稳定，至少2个月变个规则，以至于面对这个平台，我从一个“要第一个吃螃蟹的人”变成“子弹再飞一会儿” 对于中小卖家，学会不要亏钱比学会赚钱更重要

2. 选品和好的供应链很重要。我对水晶，莫桑一无所知，当时也就这两个品还能在平台上有些机会，一开始找工厂合作真的是教了不少学费。尽管我们很快做到了头部top，开始定制款式，但是销量越大后期越苦恼。

首先是爆款就那么几个，爆了就要补单，工厂生产有周期，爆品跟不上就不叫爆品；另一个是戒指不同size有不同的sku，卖的越多库存越多。逼着我们后来想了各种办法去做供应链预测，提周转降库存，这个血泪总结了经验帮助后来帮助到了多sku的服装彩妆卖家。

3. 团队很重要，TikTok是一个“人力很重”的业务，说一个人就能做这种话真的不负责任。不合适的人即使感情上舍不得，老板也要学会快刀斩乱麻，越拖越乱，也会严重影响团队的整体氛围。

现如今，我仍然在许多TikTok跨境卖家的群里，这些群也基本没人说话了。
#TikTok直播
 #创业",826
Tiktok,TK小白们 入坑前 先听听坑里的我的劝告!,"#tiktok
 主页有群。 我怎么入坑的? 还不是看了很多""老师""""大神""的各种""晒单""和""小白攻略""把整个事情描述的太简单了。(可能是我不行吧) 咱们看看我的真实数据截图。首先披露，我是🇲🇾马来西亚本土点，当地马来朋友开的号，我出💰出力。当时幻想我从国内一件代发铺货，她负责当地运营。🤚不行! 马来TK要求48小时内出货，国内还没出货呢我们TK就吃了""发货超时警告"" - 限售啦! (每天只能卖3个物品!) 粉丝情况不错，氪金呗，7天花了小3000🐎币，折合近4500元，数量上非常好，获得了11000实际粉丝，质量上??? 97%男粉!! 99%马来西亚，一半在吉隆坡。 哭笑不得啊 (⊙o⊙) 我们的引流贴都是🇰🇷星啊，引来那么多大老爷们儿来关注 还收到很多""油腻""搭讪，不过我看不懂，都是马来语 朋友说挺无聊的。我们本想做女装，后来突然改成男装，谁叫我们全是男粉呢。被限售前卖出去 7条短裤  我这哪是跨境电商啊，我跨境摆地摊都不如!

聊聊干货:

1。需要当地库存, 48小时内必须发货，马来西亚流行货到付款(物流公司负责收款)，这是小白最大挑战，那就是走当地云仓，还是自己囤货? 我只能说，先看看自己的荷包再说吧，还有就是自己在哪个国家开店。

2。别学我烧💰吸粉，没用，11000粉丝后尝试了自然流量，每个帖子也就100-200个浏览，不太成正比啊，TK你来解释解释是不是就要我们烧💰?

3。尊重慕斯林或任何当地文化规矩，我的小号被直接封号，因为发了某人参加某🐎秀 。。。和一些韩舞视频 (露大腿太多也不行!) 这个锅怪我。

4。直播带货，我还没开始就被限售了，就先歇一歇; 东南亚没有国内那么完善和高竞争的MCN网红经济环境，而且可以0粉直播带货 (不买推流，不一定有人看，我猜的) 这也是我下一个目标吧，开始诚聘马来本土销售员用我的号直播代销，做个营销号算了，实在懒得选品和收发包装货物。

5。不要看别人晒销售收入流水单! 谁自己压货没压货，净利润到底正负，谁自己心里明白! 卖出10万的货，不代表挣了10万工资! 大家还得认真坐一坐财务会计盈亏预算啊。

6。选品，我直接放弃! 所以打算好好养粉，做个直播代销的营销号合作号。这个是我的个人因素，就是没有审美和市场洞察力。还是交给其他能人或者厂家吧

#不懂就问有问必答 #电商运营干货 #跨境电商 #自媒体运营 #电商运营  #电商 #劝退",668
运营笔记,自媒体超好做的。（极速版）,"陪跑了一百多个账号，终于熬夜帮新手博主总结了一份两个月计划，适合爱偷懒、性子急，想快速出流量的姐妹们，赶紧🐴住！
.
一、第1~3天：确定赛道、定位、和形式。
1⃣用swot分析法找出自己的兴趣和优势，选择合适的赛道。
2⃣ 参考自己的身份、性格特点来进行人设定位。
3⃣如何呈现？图文或视频？内容差异化？
.
二、第4~5天：完善个人主页。
1⃣名字
参考：纯昵称/昵称+细分领域/职业、身份+昵称/xx+要做的事/谐音梗/昵称+性格/地区+昵称
.
2⃣头像
参考：一般个人ip用真人头像是最好的，其他账号的头像只要好看或者有特点就行。
.
3⃣背景图
比例为5：4，可以是个人简介的扩充图文。
.
4⃣简介
参考：定位+人设+赛道+slogan。一般是转化粉丝的关键点。
.
三、第6~16天：搭建选题库。
1⃣筛选10个对标账号，5个尾部博主作为短期目标。5个腰部博主作为长期目标。
.
2⃣分析他们的标题+封面+内容+文案，以及整体账号的内容规划，关注内容的评论反馈，作为自己的选题思路。
.
3⃣搜集适合自己选题素材，将他们的标题和内容提炼成适合自己账号的选题素材。
.
四、第17~27天：提升文字功底。
如果文案很差，建议新手可以模仿对标的文案，从文案结构、排版、表达方式去1：1的仿写，长期坚持下来就会形成自己的文案风格。
.
五、第27~35天：优化选题。
前期可以多仿一些同行的优质选题，再通过笔记的互动数据区优化选题，流量持续很好的选题就是你需要长期输出的内容。
.
六、第36天~60天：坚持更新。
很多新手宝子发个两三篇，数据不好就直接放弃了，但数据和选题、封面、发布时间、推送人群都有关系，所以一定要坚持多发内容，才能测试出用户爱看哪些内容。
-
七、博主都在用的运营工具
📚运营学习：摸鱼运营社（公众号），小红薯博主的运营干货，还有多对一的博主陪跑课。
📚追踪热点：今日热榜（网站），快速浏览各大平台实时热点。
📚选题工具：巨量算数（网站），输入选题关键词关联词。
📚封面制作：黄油相机、醒图
📚作图排版：稿定设计、创客贴、可画
📚图片素材：Pexels、unsplash、花瓣网、千图网
#新人博主
 #如何做博主 #小红书博主入门#自媒体",51427
运营笔记,新手博主入门🔥教你从零开始做小红书账号,"做小红书博主真的太香了🔥自己做小红书一个多月，涨粉7000＋，收获多篇赞藏破千的笔记❗️

很多粉丝宝宝来跟我求经验，今天就跟大家分享一下，新手小白如何从零做账号，超硬核干货❗️我从赛道定位、对标账号、选题准备、内容制作、数据复盘这5个部分来讲，保姆级教程，自媒体小白也能快速入门！

1️⃣赛道准备
根据你的兴趣和优势选择合适的赛道，赛道决定后期的变现和持续输出。
2️⃣对标账号
不要上来就发标新立异❌认真拆解20个对标账号，研究他们的人设、选题、封面、标题等等。
3️⃣选题准备
搜集50-100个高赞藏的选题，建立选题库，途径：搜索领域关键词or从对标账号中找流量密码❗️
4️⃣内容制作
一次性制作10条笔记，稳定频率发布
5️⃣数据复盘
做好数据分析，复制自己做的好的地方，提升内容质量
按照这五步去做，新手也能快速把账号做起来，不要走弯路了！
#新手博主
 #自媒体运营 #小红书新人 #新人博主 #素人做博主的长成日记 #新媒体运营",26535
运营笔记,运营干货 | 爆款笔记打造 | 实操吐血分享！,"1.定位：立人设
一眼就清楚你这个账号是做什么的？
为什么要关注你？
关注你能为粉丝带来什么好处？
主要呈现：头像、昵称、背景图、个人简介
2.内容垂直：普通人做博主想快速涨粉，内容垂直是最有保障的。当你持续发布同一个领域的内容、小红书的账号权重也会更高。（只有让别人有获得感你的存在才有价值，开心的情绪或者推荐了好的物品都是获得感）
3.图文统一突出：小红书的平台属性归根还是图文为主的平台，用户画像也以年轻一二线女性为主、视觉很好，整体画面统一就赢了一大半！
4.有节奏的更新：固定时间
流量较大的时间点：7：00—9：00
12：00—13：00
15：00—17：00
20：00—21：00
23：00—3：00
5.寻找对标账号：先模仿再超越！拆解账号、并收集同一领域的十篇爆款案例，进行拆解。
爆款案例拆解：爆款选题、文案结构、图片布局、
7.信心➕平常心：不要被数据带着跑！我想这一点大家都会有很强的代入感(´•̥  ̯ •̥`)
8.不要随便删图文，会影响权重，可隐藏。
关键：找到自己热爱并擅长的领域、因为坚持下去很重要！@小红书成长助手

#运营
 #表现#素人做博主的长成日记",19827
运营笔记,运营干货1⃣️｜小白入门‼️从瑞幸提炼4个重点,"运营的分类很广，职能分得很细！在小的创业公司可能面临“身兼多职”的情况，大厂往往会把运营的种类细化。入门/跳槽前，本篇小白必懂⭕️今日份打卡：内容运营、用户运营、活动运营、产品运营都是什么，工作职责、SOP都有什么内容。

运营科普$干货，我会作为一个系列来出，下一篇讲运营的工作流程！

🌟内容运营（以瑞幸x椰树为例）
1⃣️做内容运营的，很常听见“矩阵”这两个字。其实就是定好平台，平台上分别宣传什么内容。
2⃣️包含：内容是以文字、图片还是视频的形式宣发？风格定位搞笑、深情还是知识干货？策划、选题、造势怎么操作？对内容转化负责，怎么提高转化率？生产什么内容？

🌟用户运营（以瑞幸社群运营为例）
这是目前最常见在招聘的岗位（社群运营），门槛低，想做好需要关注很多的细节。
1⃣️新增：渠道的选择，新增数据的监测
2⃣️留存：互动、反馈、福利、用户问题的解决做得到？
3⃣️活跃：用户积分体系、激励体系（群签到、抽奖..）
4⃣️传播：用户相互价值，增强生态的良性循环（这个以后的笔记会出）
5⃣️流失：利用用户画像，分析流失的原因，唤回流失客户（RFM模型、定期发券..）

🌟活动运营（活动策划）
这是一个低门槛，高洞察力，有意思的职能岗位
1⃣️活动策划：策划方案怎么写？（见图6）
2⃣️资源确认：渠道、成本控制、资源分配
3⃣️宣传推广：排期、渠道、内容、主题
4⃣️效果评估（复盘）：数据如何分析（后面笔记也会出）

🌟产品运营
1⃣️常见的是产品经理岗，一个要求全方位的职能，最需要数据分析、用户沟通等综合能力。
2⃣️意义：产品价值=功能➕体验➕用户参与价值；产品运营就是帮助产品更好实现长期价值，给用户提供短期价值且促使用户去发现产品的长期价值（有点拗口，但能看懂的就悟了30%了）

🌟总结：运营不是独立于市场、产品的板块，四个运营职能与产品和市场息息相关。最明显的特点在于，运营需要对自己职能内的数据直接负责，需要想办法优化这些数据。

今日份打卡完毕，如有不对欢迎指正！后续会持续出内容运营怎么做、用户运营怎么维系社群、活动策划方案怎么写、产品需要关注的数据有哪些，怎么分析数据？⭕️感兴趣的可以持续关注哦！

#干货分享
 #职场日常 #营销干货 #运营 #运营学习 #内行才知道",7435
运营笔记,运营小白应该如何成长❓丨附电商思路知识表,"哈喽，
最近收到有人问我说：“我当了好久的运营小白啦，
一直没成长，感觉工作到了瓶颈期怎么办？”

想想我自己当时从客服转岗，运营小白初期，
有时也会觉得迷茫，但我觉得呀，
每份职业都需要你内驱地成长，而成长最关键就是：懂思考！

好了！
你先来想想我接下来问的问题你心里都有答案吗？

1⃣️第一个问题：你是做什么类目的？
你知道你的行业里，竞品top的前三是哪几个吗？
他们店铺的进店流量渠道分别是什么？

2⃣️第二个问题：运营的逻辑是什么？
销量第一、销售额第一、流量第一、利润第一
你的店铺目标是以上的哪一个？

如果你没有答案的话，再和我一起，
看看以下这些问题与思路。
自己学会思考，并在工作里找答案，
我担保之后没人会再说你小白。！！

运营逻辑：选择大于努力，店铺找准方向再发力。
（一）对症下药，先找到自己店铺定位！
商家排名一般有四个维度，
你要看自己需要达到这四个维度中哪一个是你努力的方向。
（二）流量怎么来
参考竞品最快捷：
后台软件：
生意参谋-竞品分析里-添加竞品-再查看流量来源

可完整清晰地看透竞品的店铺流量打法！再看自己是否也可以这样操作放大流量。

（三）怎么放大流量并留住流量？
1、转化率，当流量来了后，你的店铺是否能承接流量？（流量来了但不转化，一般是内功没做好）
内功包括：主图、详情页、价格优势透出、销量与好评。。
记住主图点击率是非常重要的，多看同行的主图怎么做，找精髓！

2、展现销售渠道要增大，少量S单配合上升趋势
这里的门道多，下一期说~
3⃣️第三个问题，怎么稳住流量？
第一、销售额，（销售额不能下降），
第二、主图点击率，同样的权重，展现，而你的主图点击率比别人少一半，怎么弄嘛？
第三、售后评分指标，不管怎么样用手段不能降低。
第四、这个月的今天和上个月的今天对比一下销售额，是否下滑了，学会分析问题。

〰️

有人问了，这么费劲，为什么呢？
因为，能独立运营店铺的运营比小白少得多，
自然也要比小白有价值得多！！

其中最大的区别就是，
在于：你是否会用电商思维去思考问题？
——这也是越来越多老板愿意寻求有经验，能独立运营店铺的电商运营的原因。
#运营
 #电商运营 #我有一个小问题 #电商运营助理 #电商干货",1976
创业,2023创业新趋势 | 普通人能把握的新机遇🔥,"我在广州明显看到现在人流量不断增多📈，让我想不到的是，餐饮行业速度如此快速🔥，平时出去吃个饭都已经排长龙的队伍了，果然还得是人间烟火气，最抚凡人心💰～
（先看完图片内容👆🏻）

-
❶ 对于餐饮行业来说，也存在一部分人的消费降级，平时人均100的，现在50，人均50的变30💰

所以短期来看，小投入的【地摊美食】是个不错选择：

比如：写在大字报上19.9一份的烤鱼🐟，吸引力爆棚🔥，鱼的成本不高，其次从➕其他料、酒水、套餐更划算方面入手去拉高客单价和利润。

📌 不要说地摊、餐饮不好做了，只要好吃，很多人坐飞机都跑过来吃，我昨天在路边摊买了两份美食，真的真的可难吃了，真的不能怪别人不复购呀，谁不爱美食呢？

-
❷ 新农业经济

可以了解一下云养鸡🐔的模式，听起来有点不可思议，但是细细想想，确实存在大量的需求，一个新兴商业思路。
亲子休闲农场、特色健康农产品直播带货等等

-
❸ 大健康经济

心理健康疗愈很火，未来前景也很不错，年轻人的减压方式，更多追求精神层面的需求，覆盖人群会越来越多。

还有养生、食疗、健身运动等等

-
❹ 养老经济

新式旅居养老，森林养老，社区养老，新的一批退休人员，自带退休金，身体健康，追求的就是品质、健康的生活。

很多现在30+的年轻人都有想去提前体验养老生活的需求，比如我，很是羡慕啊～那种吃喝玩乐的慢节奏生活。

-
❺ 悦己经济

去🔎美学思维，不管是面部的、形体、服饰搭配、家居装饰，都在讲的一个词：美学思维🔥。

想要在美业发展的，这个是有前景一种新的概念，会这项技能用来做自媒体，都非常优秀。

-
❻ 单身经济

一个人时间更多、花费💰在自己身上也会更多，那么一人行旅游、一人份美食打卡、一人的家居用品，都会有市场。

还有萌宠、社交活动，给单身人群打造一个圈子。

前几天我看到一个【单身餐厅】，进去的人都是单身，慢慢传播开了，那里就不仅仅是一个餐厅，是一个社交场所，这就是差异化。

#搞钱
 #赚钱 #那些赚钱的副业 #创业 #餐饮创业 #创业坦白局 #宝妈创业 #女性创业 #必备商业思维 #行业我知道 #开箱吧专业 #宝藏新风向",27413
创业,从0创业收入八位数，真诚分享给你的几个建议,"📍
人和人之间本质的差距就是认知
千万不要觉得牛逼的大佬是天生的厉害
因为这种想法会让你
产生自卑和局限自己成长

📍
我遇到过很多人先知什么能赚钱
她们也看到身边有人因为这个赚了钱
但总是在自我否定，觉得自己干不了
亦或者为自己的懒惰找借口等待所谓合适时机

📍
其实简单粗暴的说
大多数的人成功的方法是复制和模仿
千万不要抵触去模仿别人
那复印机复印还要钱呢～
人能学会复制，就是一项重要能力
在你还没入行，还没有创新能力的时候
先去模仿，去入行，慢慢创新
这是最快的方式，没有之一

📍
就跟我们小时候学写作文一样
有个范文给你看，先去学习怎么去写✍🏻️
其实学习的底层逻辑是相通的
先了解，再模仿，后创新
商业底层逻辑也是如此

📍
相信自己是第一步
再有能力的人也不会次次都成功
但他可以一直去尝试，坚信自己可以成功
慢慢走来就拥有了许多能力，丰富的实战经验

📍
不要光去羡慕别人的光鲜结果
比如现在的谷爱凌，天才一般的女子
但你去看看她的锻炼，练习的多么的艰辛
人家克服的困难，这种坚韧自信的状态
也不要盲目酸说她的原生家庭条件好
多少家里条件好的也没有成为世界冠军🏆

📍
但却也有比你条件更差的人成功了
比如奥运冠军全红婵为了给母亲治病而努力
所以不给自己找理由
你想拥有的，包括别人拥有的
都是努力的付出，而得到的🙌

这么一想，不管你努不努力
我们都可以释然的过好这一生
因为这都是我们自己选择的～
#搞钱
 #赚钱 #底层逻辑 #思维 #商业思维 #极简主义",16532
创业,大佬年赚100w的模型,"按照这套横型走，一年100万问题不大。

第1步: 卖
先确定好要卖什么。
接地气的赚钱模式，就三种。
1、卖实体。比如二手手机、IPAD、燕窝、海参水晶等优先选择高利润、高复购产品。
2、卖资料。比如教资资料、公考资料、恋爱资料考研资料、会计资料等等。
3、卖服务。比如情感咨询、心理咨询、创业指导挽回、律师咨询等等。

第2步:寻找同行
寻找50个优质同行
某音、某书某乎、某号等平台，筛选出50个优质同行。
建立EXCEL文件，做同行数据库，标明他们的平台主页链接、粉丝数、选题、更新频率。时刻关注新冒出的同行，填充到自己同行数据库。

第3步:模仿和学习
学习他们的内容形式、选题、文案结构、更新频率等等。然后采集内容，做内容素材库，自己模份生成。内容生产流程要拆成各个环节:环节ABCDE..
每个环节批量去做，比如文案就批量做50个，剪视频就批量剪50个。
一个环节批量做，是为了减少不同环节切换造成的损坏，同时重复性动作批量做可以减少时间。

第4步:批量分发
每天产出50个视频/图集，准备5个手机。瞄淮10个分发平台:某书某音、某手、某乎某条、某号等等，然后批量分发。
1个视频发1个平台，就是一个触点。
50个视频分发10个平台，就是500个触点。一个月就是15000个触点，一个触点，搞来一个精淮流量，也值了。

第5步:成交转化简化成交，用某信就行。
某某信=承接流量+朋友圈转化朋友圆素材，小号添加50个同行，每天搬运或者改编朋友圈即可。

第6步:招生
等自己靠这个模式稳定日赚200+了，有成熟的引流十变现+售后体系，则可以开始招生。招生来源-客户(自有)十网创1P粉丝(另起一方面是做这个项目，本身引来的流量;一方面是来自于做网创ip所积累的粉丝

第7步:团队操作
一个人做项目熟练了，则可以把各环节拆分，分派给不同的人去做。

第8步:招商加盟
这套团队操作的模式打通了，则可以招商加盟，卖合伙人。
卖的就是一套团队操作的方法、细节和模式

第9步:联盟后端
当拥有足够的学员和合伙人，则可以吃各个环节的利润差+裂变产生的附加值。

这9步做好了，一年100W打底。而这100W，只是来源于自己用心打通一个稳定日入200+的项目。
#创业
 #职场那些事儿 #女性成长 #商业思维",11684
创业,26岁年薪百万，分享给女生的创业搞钱经验,"我毕业于普通二本，学前教育专业，在23岁时赚到了人生的第一个100W，并在今年开了一家旅游公司。
（完整版创业故事可看图👆）
-
我深知创业的不易，所以这篇不是和大家传递“我有多成功”的结果论，而是想要通过自身五年实打实的创业经历，总结一些有用干货给大家。希望想搞💰姐妹们能少踩一些坑，早点赚到人生中的第一桶金。
-
①少看短视频，多了解行业动态
我身边年入七位数的大佬，每天都会定期看guo家政策、行业信息。这其实和做生意的本质一样，你想要赚💰，你就得离一手资讯蕞近（短视频已经是二手/三手资讯了）。
请相信：“乘着时代的东风才能离成功更近”。就像是早期的互联网，如今的新能源、大健康行业。谁能洞察出方向，谁就预判准形势，谁能抓到这个风口。
-
②遵从内心喜好，勇敢迈步
我为何会从幼教转行至创业？其实归根到底是因为我不喜欢墨守成规的生活。当我们发现自己喜欢做什么，不喜欢做什么时，就不妨大胆让自己去做“喜欢的”，而非适合的。敢于迈步这点真的很重要，你害怕行动，你害怕承担责任，实际上就是害怕成功。
-
③拒绝完美，完成更重要
有想法就去做，完成比完美更重要！我从来都不是在准备好的状态去做的，而是边学边做。比如我不懂旅游路线，那么我就多看纪录片，多去看旅游过的人撰写的随笔，然后就自己去踩、去玩。我清晰记得记得一位良师说过：“没有人一开始就能想清楚，只有做起来，目标才会越来越清楚”。这句话同样想送给想要创业，却迟迟没迈步的小伙伴。不要放弃每一个灵感乍现的时刻，因为它都是你希望的开始。
-
④拥有从头再来的勇气
很多人说普通人试错成本高，但是我想说，赚💰这事错过的代价太大了。一旦你看到机会、抓住红利，大胆去创业还是很有机会的。蕞怕的是，每个赚💰项目你都看见了，但是都没行动。我们要用经济学角度看创业的话，其实做啥事都有风险，区别就是风险的大小。还有，我们本就一无所有，又何惧从头再来？
-
⑤别忘了提升自己
学历不是创业的敲门砖，但学习是。我妈曾对我说：“不吃学习的苦，就要吃自卑的苦。”特别是女生，要保持终身学习的习惯，别沉迷在吃喝玩乐的琐碎事。想学什么就去学什么，努力学习拼命搞钱，追求经济独立和内核完整。
-
想对All女生说：永远相信你自己，你首先是你，才能是别人🧡
#女性成长
  #赚钱  #经验分享  #创业  #女性创业  #创业坦白局  #笔记灵感",5513
创业,年轻人做生意，一定要注意这些坑,"年轻人去做生意，不要去做什么高大上的生意。
1，比如什么咖啡馆啊、什么清酒吧啊、什么服装店啊。这些，都不要去做。不要拿你的审美去用金钱试市场，因为你的审美再高级，你赚不到钱，那你也高级不到哪里去。因为做生意的目的就是为了赚钱的。
2，你不是为了做慈善的，你不是为了做给别人看的——你不是在朋友圈里发个你店里的照片装比的——你不是为你的朋友圈里的人服务的，你是要做陌生人的生意的，你不是要去做熟人的生意的。你是为了赚money的。
3，你的高大上就只能证明你是个爱装比的人。除此之外我不觉得这个有多大的商业价值。投资个几10万去搞个门店，让自己的门店很高大上。有什么意义呢？不要去听抖y里所谓的创业导师跟你说的那套——那些根本就不适合年轻的人玩的。
4，年轻人 就是得去做小成本投入的生意，比如做个街边摊关东煮都可以。至少不到1万就可以搞定你的车子啊，什么食材啊都可以。至少是可以控制自己的成本的，而不是一下投入个几10万进去。
5，最好就是做吃的，因为吃的回购率高，吃的人也多。东西不至于卖不出去。即使是卖不出去，你自己也可以消化掉。
6，我之前看一个人去做什么卖衣服的，虽然是在街边卖，但是衣服这东西，有的是。电商三大平台，这些有的是便宜的衣服，几10块钱都可以买得到。很显然，受众是很少的。而且这衣服要是积压了，那就是钱。
7，吃才是人生第一大事，大部分人不会在吃的事情上讲价。一个关东煮卖你10块钱，你觉得很便宜。——因为是吃的，吃到就是赚到。而你用的东西，说实话 ，哪怕你的成本很低，但是你卖不出去多少啊。
8，何况吃的是男女老少通吃的，各个年龄段的都有。何况现在的年轻人，压力大，吃东西可以缓解下他们的压力。
9，创业就是得吃苦，不吃苦不行。不吃苦，你总想着投机。就像我之前看到的那个女生一样，都不舍得买2块钱的水喝。这就是吃过苦的人才会有的体验。当你没有吃过苦，那你买个10块钱的水，你都觉得这个水是不是不好喝——下次就买20块钱喜茶了。#思维格局
 #老板思维 #商业 #商业模式 #思维 #360行创业访谈 #创业思维 #商业思维 #认知思维 #认知",4701
